Season_Number,season_label,Episode_Number,Startup_Name,Industry,industry_grouped,Pitchers_City,Pitchers_State,Pitchers_Average_Age,Number_of_Presenters,team_size_bucket,Original_Ask_Amount,Original_Offered_Equity,Valuation_Requested,valuation_ask_group,equity_ask_group,Received_Offer,deal_closed,Total_Deal_Amount,Total_Deal_Equity,Total_Deal_Debt,Deal_Valuation,Number_of_sharks_in_deal,pct_of_ask_funded,valuation_change_pct
2,Season 2,17,eyenic,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,2,Two founders,75.0,6.0,1250.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,17,ekatra,Furnishing/Household,Furnishing/Household,Kota,Rajasthan,Middle,2,Two founders,40.0,10.0,400.0,Low valuation ask,High equity offered,True,True,20.0,20.0,20.0,100.0,2.0,0.5,-0.75
2,Season 2,18,Raasa,Food,Food,Delhi,Delhi,Middle,1,Solo founder,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,50.0,25.0,,200.0,1.0,1.0,-0.8
2,Season 2,18,NeoMotion,Manufacturing,Manufacturing,Chennai,Tamil Nadu,Middle,3,3+ founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,True,100.0,1.0,,10000.0,1.0,1.0,0.0
2,Season 2,18,licksters,Food,Food,Nagpur,Maharashtra,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,25.0,5.0,25.0,500.0,1.0,0.5,-0.5
2,Season 2,18,Sayonara,Beauty/Fashion,Beauty/Fashion,Kolkata,West Bengal,Middle,1,Solo founder,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,19,PMV,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Mumbai,Maharashtra,Middle,1,Solo founder,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,19,SpiceStory,Food,Food,Mumbai,Maharashtra,Middle,3,3+ founders,70.0,2.0,3500.0,High valuation ask,Low equity offered,True,True,70.0,5.0,,1400.0,1.0,1.0,-0.6
2,Season 2,19,Bullspree,Technology/Software,Technology/Software,Ahmedabad,Gujarat,Middle,3,3+ founders,75.0,1.5,5000.0,High valuation ask,Low equity offered,True,True,75.0,2.86,,2622.377622,2.0,1.0,-0.4755244756
2,Season 2,20,Snitch,Beauty/Fashion,Beauty/Fashion,Bangalore,Karnataka,Middle,1,Solo founder,150.0,0.5,30000.0,High valuation ask,Low equity offered,True,True,150.0,1.5,,10000.0,5.0,1.0,-0.6666666666666666
2,Season 2,20,Portl,Services,Services,Hyderabad,Telangana,Middle,3,3+ founders,150.0,1.0,15000.0,High valuation ask,Low equity offered,True,True,150.0,2.5,,6000.0,3.0,1.0,-0.6
2,Season 2,20,FatToSlim,Beauty/Fashion,Beauty/Fashion,Bangalore,Karnataka,Middle,1,Solo founder,20.0,1.0,2000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,21,CheeseCake&Co.,Food,Food,Delhi,Delhi,Middle,2,Two founders,100.0,2.0,5000.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,21,Dabble,Manufacturing,Manufacturing,Bangalore,Karnataka,Middle,2,Two founders,50.0,10.0,500.0,Low valuation ask,High equity offered,True,True,15.0,10.0,35.0,150.0,1.0,0.3,-0.7
2,Season 2,21,CloudTailor,Services,Services,"Bangalore,Hyderabad","Karnataka,Telangana",Middle,3,3+ founders,100.0,1.4,7142.857143,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,21,BeUnic,Services,Services,Noida,Uttar Pradesh,Middle,3,3+ founders,100.0,10.0,1000.0,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,22,Broomees,Services,Services,Delhi,Delhi,Middle,3,3+ founders,80.0,2.0,4000.0,High valuation ask,Low equity offered,True,True,100.0,3.0,,3333.333333,3.0,1.25,-0.16666666675
2,Season 2,22,Ravel,Beauty/Fashion,Beauty/Fashion,Amaravati,Maharashtra,Middle,1,Solo founder,75.0,2.5,3000.0,High valuation ask,Low equity offered,True,True,75.0,10.0,,750.0,1.0,1.0,-0.75
2,Season 2,22,HoneyVeda,Food,Food,Ahmedabad,Gujarat,Middle,2,Two founders,75.0,7.5,1000.0,Low valuation ask,High equity offered,True,True,50.0,20.0,25.0,250.0,2.0,0.6666666666666666,-0.75
2,Season 2,23,PadCare,Manufacturing,Manufacturing,Pune,Maharashtra,Young,1,Solo founder,50.0,2.0,2500.0,High valuation ask,Low equity offered,True,True,100.0,4.0,,2500.0,4.0,2.0,0.0
2,Season 2,23,SwadeshiBlessings,Furnishing/Household,Furnishing/Household,Udaipur,Rajasthan,Middle,3,3+ founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,25.0,5.0,25.0,500.0,2.0,0.5,-0.5
2,Season 2,23,OLL,Technology/Software,Technology/Software,Mumbai,Maharashtra,Young,1,Solo founder,30.0,2.0,1500.0,Low valuation ask,Low equity offered,True,True,30.0,5.0,,600.0,2.0,1.0,-0.6
2,Season 2,23,Febris,Medical/Health,Medical/Health,Ferozepur,Punjab,Middle,2,Two founders,100.0,2.5,4000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,24,Geeani,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,Middle,3,3+ founders,75.0,7.5,1000.0,Low valuation ask,High equity offered,True,True,100.0,10.0,,1000.0,3.0,1.3333333333333333,0.0
2,Season 2,24,Amore,Food,Food,"Hyderabad,Mumbai","Telangana,Maharashtra",Middle,2,Two founders,75.0,4.0,1875.0,Low valuation ask,High equity offered,True,True,75.0,7.5,,1000.0,1.0,1.0,-0.4666666666666667
2,Season 2,24,LeafyAffair,Beauty/Fashion,Beauty/Fashion,Bangalore,Karnataka,Middle,1,Solo founder,50.0,2.5,2000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,25,ScrapUncle,Services,Services,Delhi,Delhi,Young,1,Solo founder,60.0,3.0,2000.0,High valuation ask,High equity offered,True,True,60.0,5.0,,1200.0,1.0,1.0,-0.4
2,Season 2,25,SharmaJiKiAata,Food,Food,Pune,Maharashtra,Middle,2,Two founders,40.0,10.0,400.0,Low valuation ask,High equity offered,True,True,40.0,20.0,,200.0,1.0,1.0,-0.5
2,Season 2,25,Manetain,Beauty/Fashion,Beauty/Fashion,"Cochin,Mumbai","Kerala,Maharashtra",Young,2,Two founders,75.0,2.5,3000.0,High valuation ask,Low equity offered,True,True,75.0,10.0,,750.0,1.0,1.0,-0.75
2,Season 2,26,GavinParis,Beauty/Fashion,Beauty/Fashion,Kolkata,West Bengal,Young,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,26,UnStop,Technology/Software,Technology/Software,Delhi,Delhi,Middle,1,Solo founder,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,True,200.0,4.0,,5000.0,4.0,2.0,-0.5
2,Season 2,26,BlueTea,Food,Food,"Faridabad,Kolkata","Haryana,West Bengal",Middle,2,Two founders,75.0,1.0,7500.0,High valuation ask,Low equity offered,True,True,50.0,3.0,25.0,1666.666667,1.0,0.6666666666666666,-0.7777777777333335
2,Season 2,27,TheGreenSnack,Food,Food,Mumbai,Maharashtra,Middle,2,Two founders,100.0,2.0,5000.0,High valuation ask,Low equity offered,True,True,100.0,8.0,,1250.0,1.0,1.0,-0.75
2,Season 2,27,HobbyIndia,Furnishing/Household,Furnishing/Household,Surat,Gujarat,Young,3,3+ founders,50.0,3.0,1666.666667,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,27,Flhexible,Furnishing/Household,Furnishing/Household,Jaipur,Rajasthan,Middle,2,Two founders,50.0,7.5,666.6666667,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,27,UpThrust,Sports,Other (small n),Mumbai,Maharashtra,Young,2,Two founders,75.0,3.0,2500.0,High valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,28,Zoff,Food,Food,Raipur,Chhattisgarh,Middle,2,Two founders,100.0,0.5,20000.0,High valuation ask,Low equity offered,True,True,100.0,1.25,,8000.0,1.0,1.0,-0.6
2,Season 2,28,DesiToys,Manufacturing,Manufacturing,Mumbai,Maharashtra,Middle,1,Solo founder,50.0,3.0,1666.666667,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,28,CloudWorx,Technology/Software,Technology/Software,Bangalore,Karnataka,Middle,1,Solo founder,40.0,2.0,2000.0,High valuation ask,Low equity offered,True,True,40.0,3.2,,1250.0,2.0,1.0,-0.375
2,Season 2,29,Mahantam,Manufacturing,Manufacturing,Banaskantha,Gujarat,Young,2,Two founders,30.0,10.0,300.0,Low valuation ask,High equity offered,True,True,30.0,20.0,,150.0,5.0,1.0,-0.5
2,Season 2,29,MindPeers,Medical/Health,Medical/Health,Delhi,Delhi,Middle,2,Two founders,53.0,1.0,5300.0,High valuation ask,Low equity offered,True,True,106.0,2.0,,5300.0,4.0,2.0,0.0
2,Season 2,29,Barosi,Food,Food,Pataudi,Haryana,Middle,1,Solo founder,50.0,2.0,2500.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,30,Daryaganj,Food,Food,Delhi,Delhi,Middle,3,3+ founders,90.0,0.5,18000.0,High valuation ask,Low equity offered,True,True,90.0,1.0,,9000.0,1.0,1.0,-0.5
2,Season 2,30,DhruvVidyut,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Delhi,Delhi,Middle,1,Solo founder,0.0,0.5,0.0,Low valuation ask,Low equity offered,True,True,0.0,0.5,,0.0,3.0,,
2,Season 2,30,CELLBELL,Furnishing/Household,Furnishing/Household,Ulhasnagar,Maharashtra,Middle,3,3+ founders,90.0,1.5,6000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,31,Tipayi,Manufacturing,Manufacturing,Pune,Maharashtra,Young,1,Solo founder,50.0,10.0,500.0,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,31,DigiQure,Medical/Health,Medical/Health,Bhopal,Madhya Pradesh,Middle,2,Two founders,40.0,4.0,1000.0,Low valuation ask,High equity offered,True,True,40.0,10.0,,400.0,1.0,1.0,-0.6
2,Season 2,31,Nirmalaya,Manufacturing,Manufacturing,Delhi,Delhi,Middle,3,3+ founders,60.0,1.5,4000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,32,Pabiben,Beauty/Fashion,Beauty/Fashion,Ahmedabad,Gujarat,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,10.0,5.0,40.0,200.0,1.0,0.2,-0.8
2,Season 2,32,Homestrap,Furnishing/Household,Furnishing/Household,Indore,Madhya Pradesh,Middle,2,Two founders,70.0,1.0,7000.0,High valuation ask,Low equity offered,True,True,50.0,7.0,20.0,714.2857143,1.0,0.7142857142857143,-0.8979591836714286
2,Season 2,32,uBreathe,Manufacturing,Manufacturing,Gurgaon,Haryana,Middle,2,Two founders,150.0,7.5,2000.0,High valuation ask,High equity offered,True,True,50.0,5.0,100.0,1000.0,1.0,0.3333333333333333,-0.5
2,Season 2,32,Deyor,Technology/Software,Technology/Software,Gurgaon,Haryana,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,33,iMumz,Medical/Health,Medical/Health,Bangalore,Karnataka,Middle,3,3+ founders,70.0,1.0,7000.0,High valuation ask,Low equity offered,True,True,10.0,1.0,60.0,1000.0,1.0,0.14285714285714285,-0.8571428571428571
2,Season 2,33,TheHealthyBinge,Food,Food,Pune,Maharashtra,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,50.0,5.0,,1000.0,2.0,1.0,0.0
2,Season 2,33,Freakins,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,2,Two founders,70.0,1.0,7000.0,High valuation ask,Low equity offered,True,True,50.0,2.5,20.0,2000.0,1.0,0.7142857142857143,-0.7142857142857143
2,Season 2,34,Perfora,Furnishing/Household,Furnishing/Household,"Ballarpur,Karnal","Haryana,Maharashtra",Young,2,Two founders,80.0,1.0,8000.0,High valuation ask,Low equity offered,True,True,80.0,2.5,,3200.0,3.0,1.0,-0.6
2,Season 2,34,MidNightAngelsByPC,Beauty/Fashion,Beauty/Fashion,Gurgaon,Haryana,Middle,2,Two founders,75.0,6.0,1250.0,Low valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,34,CureSee,Medical/Health,Medical/Health,Gurgaon,Haryana,Middle,3,3+ founders,40.0,5.0,800.0,Low valuation ask,High equity offered,True,True,50.0,10.0,,500.0,1.0,1.25,-0.375
2,Season 2,35,MeduLance,Medical/Health,Medical/Health,Delhi,Delhi,Middle,2,Two founders,200.0,1.0,20000.0,High valuation ask,Low equity offered,True,True,200.0,2.0,,10000.0,3.0,1.0,-0.5
2,Season 2,35,Cakelicious,Food,Food,Kolkata,West Bengal,Middle,2,Two founders,25.0,5.0,500.0,Low valuation ask,High equity offered,True,True,25.0,20.0,,125.0,1.0,1.0,-0.75
2,Season 2,35,Bowled.io,Sports,Other (small n),Mumbai,Maharashtra,Middle,2,Two founders,80.0,1.0,8000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,35,Toyshine,Manufacturing,Manufacturing,Jalandhar,Punjab,Middle,1,Solo founder,125.0,0.5,25000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,36,neuphony,Medical/Health,Medical/Health,Noida,Uttar Pradesh,Young,2,Two founders,100.0,2.0,5000.0,High valuation ask,Low equity offered,True,True,100.0,5.4,,1851.851852,2.0,1.0,-0.6296296296
2,Season 2,36,Amrutam,Food,Food,Gwalior,Madhya Pradesh,Middle,3,3+ founders,50.0,2.0,2500.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,36,HoloKitab,Technology/Software,Technology/Software,Jalandhar,Punjab,Middle,2,Two founders,45.0,10.0,450.0,Low valuation ask,High equity offered,True,True,45.0,25.0,,180.0,1.0,1.0,-0.6
2,Season 2,37,Zoe,Food,Food,Gurgaon,Haryana,Middle,2,Two founders,75.0,5.0,1500.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,37,Hornback,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Hyderabad,Telangana,Middle,2,Two founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,True,True,50.0,2.5,,2000.0,1.0,1.0,-0.6
2,Season 2,37,Malaki,Liquor/Beverages,Other (small n),Mumbai,Maharashtra,Middle,2,Two founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,True,True,50.0,3.0,,1666.666667,2.0,1.0,-0.6666666666
2,Season 2,37,nanoclean,Manufacturing,Manufacturing,Bikaner,Rajasthan,Middle,1,Solo founder,80.0,2.0,4000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,38,DesmondJi,Liquor/Beverages,Other (small n),Goa,Goa,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,38,Cremeitalia,Food,Food,Mumbai,Maharashtra,Middle,1,Solo founder,90.0,1.5,6000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,38,nawgati,Services,Services,Noida,Uttar Pradesh,Young,3,3+ founders,67.0,2.0,3350.0,High valuation ask,Low equity offered,True,True,67.0,3.0,,2233.333333,2.0,1.0,-0.33333333343283583
2,Season 2,38,Swytchd,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Bangalore,Karnataka,Middle,1,Solo founder,50.0,3.0,1666.666667,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,39,GladFul,Food,Food,Jaipur,Rajasthan,Middle,2,Two founders,50.0,2.0,2500.0,High valuation ask,Low equity offered,True,True,50.0,3.5,,1428.571429,3.0,1.0,-0.42857142839999995
2,Season 2,39,Pharmallama,Medical/Health,Medical/Health,Bangalore,Karnataka,Middle,3,3+ founders,100.0,1.5,6666.666667,High valuation ask,Low equity offered,True,True,200.0,5.0,,4000.0,5.0,2.0,-0.40000000003
2,Season 2,39,CraveRajaFoods,Food,Food,Kolkata,West Bengal,Middle,2,Two founders,65.0,3.0,2166.666667,High valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,39,VAPerfume,Furnishing/Household,Furnishing/Household,Mumbai,Maharashtra,Middle,1,Solo founder,100.0,10.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,40,Hood,Technology/Software,Technology/Software,Gurgaon,Haryana,Middle,3,3+ founders,120.0,0.2,60000.0,High valuation ask,Low equity offered,True,True,60.0,0.54,60.0,11111.11111,2.0,0.5,-0.8148148148333334
2,Season 2,40,TwistingScoops,Food,Food,Delhi,Delhi,Young,2,Two founders,100.0,2.5,4000.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,40,GROWiT,Agriculture,Other (small n),Surat,Gujarat,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,True,50.0,1.0,50.0,5000.0,2.0,0.5,-0.5
2,Season 2,41,Makino,Food,Food,Himmatnagar,Gujarat,Young,4,3+ founders,200.0,2.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,41,Trunome,Medical/Health,Medical/Health,Chennai,Tamil Nadu,Middle,2,Two founders,150.0,1.0,15000.0,High valuation ask,Low equity offered,True,True,150.0,2.0,,7500.0,4.0,1.0,-0.5
2,Season 2,41,Wol3D,Manufacturing,Manufacturing,Mumbai,Maharashtra,Middle,4,3+ founders,150.0,1.0,15000.0,High valuation ask,Low equity offered,True,True,80.0,2.0,70.0,4000.0,1.0,0.5333333333333333,-0.7333333333333333
2,Season 2,41,What'sUpWellness,Food,Food,Kolkata,West Bengal,Middle,2,Two founders,50.0,3.0,1666.666667,Low valuation ask,High equity offered,True,True,60.0,4.76,,1260.504202,3.0,1.2,-0.24369747895126043
2,Season 2,42,ProostBeer,Liquor/Beverages,Other (small n),Delhi,Delhi,Middle,2,Two founders,100.0,0.75,13333.33333,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,42,DrCubes,Liquor/Beverages,Other (small n),Bangalore,Karnataka,Middle,2,Two founders,80.0,15.0,533.3333333,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,42,MetroRide,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Bangalore,Karnataka,Middle,2,Two founders,75.0,1.0,7500.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,42,Conker,Technology/Software,Technology/Software,Bangalore,Karnataka,Middle,1,Solo founder,40.0,1.0,4000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,43,WTF,Food,Food,Kolkata,West Bengal,Middle,1,Solo founder,75.0,5.0,1500.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,43,funngro,Technology/Software,Technology/Software,Mumbai,Maharashtra,Middle,3,3+ founders,50.0,1.25,4000.0,High valuation ask,Low equity offered,True,True,50.0,4.16,,1201.923077,2.0,1.0,-0.69951923075
2,Season 2,43,Aadvik,Food,Food,Delhi,Delhi,Middle,2,Two founders,60.0,1.5,4000.0,High valuation ask,Low equity offered,True,True,15.0,1.5,45.0,1000.0,1.0,0.25,-0.75
2,Season 2,43,oyehappy,Services,Services,Hyderabad,Telangana,Middle,2,Two founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,44,HealthyMaster,Food,Food,Bangalore,Karnataka,Middle,3,3+ founders,50.0,2.0,2500.0,High valuation ask,Low equity offered,True,True,50.0,6.5,,769.2307692,1.0,1.0,-0.69230769232
2,Season 2,44,Kitsons,Furnishing/Household,Furnishing/Household,Hyderabad,Telangana,Middle,3,3+ founders,1000.0,10.0,10000.0,High valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,44,LondonBubble,Food,Food,Mumbai,Maharashtra,Middle,2,Two founders,75.0,5.0,1500.0,Low valuation ask,High equity offered,True,True,75.0,15.0,,500.0,1.0,1.0,-0.6666666666666666
2,Season 2,44,WaggyZone,Animal/Pets,Other (small n),Mumbai,Maharashtra,Middle,1,Solo founder,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,45,NutriCook,Food,Food,"Bangalore,Punganur","Karnataka,Andhra Pradesh",Middle,2,Two founders,100.0,2.0,5000.0,High valuation ask,Low equity offered,True,True,50.0,10.0,50.0,500.0,1.0,0.5,-0.9
2,Season 2,45,Subhag,Medical/Health,Medical/Health,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",Middle,3,3+ founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,True,True,20.0,1.0,30.0,2000.0,1.0,0.4,-0.6
2,Season 2,45,SinghStyled,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,True,True,50.0,10.0,,500.0,1.0,1.0,-0.5
2,Season 2,46,ZSportsTech,Sports,Other (small n),Mumbai,Maharashtra,Middle,2,Two founders,60.0,2.0,3000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,46,ThePlatedProject,Services,Services,Mumbai,Maharashtra,Middle,1,Solo founder,75.0,2.0,3750.0,High valuation ask,Low equity offered,True,True,75.0,3.75,,2000.0,3.0,1.0,-0.4666666666666667
2,Season 2,46,VsnapU,Services,Services,Goa,Goa,Middle,4,3+ founders,50.0,1.5,3333.333333,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,46,TheHealthyFactory,Food,Food,Mumbai,Maharashtra,Young,2,Two founders,75.0,2.1,3571.428571,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,47,Brevistay,Services,Services,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",Young,5,3+ founders,100.0,1.66,6024.096386,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,47,SoulUp,Services,Services,Bangalore,Karnataka,Middle,2,Two founders,50.0,3.0,1666.666667,Low valuation ask,High equity offered,True,True,50.0,5.0,,1000.0,1.0,1.0,-0.40000000012
2,Season 2,47,TheBigBookBox ChapterOneBooks,Furnishing/Household,Furnishing/Household,Gopalganj,Bihar,Middle,2,Two founders,50.0,8.0,625.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,48,Rubans,Beauty/Fashion,Beauty/Fashion,Bangalore,Karnataka,Middle,2,Two founders,150.0,0.5,30000.0,High valuation ask,Low equity offered,True,True,100.0,1.0,50.0,10000.0,3.0,0.6666666666666666,-0.6666666666666666
2,Season 2,48,SameNotification,Technology/Software,Technology/Software,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",Middle,1,Solo founder,25.0,15.0,166.6666667,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,48,BottomLineSprays,Furnishing/Household,Furnishing/Household,Ahmedabad,Gujarat,Middle,2,Two founders,35.0,5.0,700.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,48,LilGoodness,Food,Food,Bangalore,Karnataka,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,True,50.0,1.0,50.0,5000.0,1.0,0.5,-0.5
2,Season 2,49,ForeverModest,Beauty/Fashion,Beauty/Fashion,Aurangabad,Maharashtra,Young,1,Solo founder,20.0,10.0,200.0,Low valuation ask,High equity offered,True,True,20.0,20.0,,100.0,4.0,1.0,-0.5
2,Season 2,49,Sahayatha,Medical/Health,Medical/Health,Coimbatore,Tamil Nadu,Young,1,Solo founder,100.0,10.0,1000.0,Low valuation ask,High equity offered,True,True,100.0,10.0,,1000.0,5.0,1.0,0.0
2,Season 2,49,WickedGud,Food,Food,Mumbai,Maharashtra,Middle,3,3+ founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,49,maisha,Beauty/Fashion,Beauty/Fashion,Ahmedabad,Gujarat,Middle,3,3+ founders,75.0,3.0,2500.0,High valuation ask,High equity offered,True,True,10.0,1.0,65.0,1000.0,1.0,0.13333333333333333,-0.6
2,Season 2,50,NishHair,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,1,Solo founder,100.0,2.0,5000.0,High valuation ask,Low equity offered,True,True,100.0,2.0,,5000.0,1.0,1.0,0.0
2,Season 2,50,MYBYK,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,Middle,1,Solo founder,200.0,1.0,20000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,51,GODESi,Food,Food,Bangalore,Karnataka,Middle,2,Two founders,90.0,0.5,18000.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,51,TAC,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,2,Two founders,150.0,0.5,30000.0,High valuation ask,Low equity offered,True,True,81.0,1.0,69.0,8100.0,2.0,0.54,-0.73
2,Season 2,51,Naara-Aaba,Liquor/Beverages,Other (small n),Ziro,Arunachal Pradesh,Middle,2,Two founders,75.0,2.5,3000.0,High valuation ask,Low equity offered,True,True,50.0,5.0,25.0,1000.0,2.0,0.6666666666666666,-0.6666666666666666
2,Season 2,51,StyloBug,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,2,Two founders,80.0,2.0,4000.0,High valuation ask,Low equity offered,True,True,80.0,10.0,,800.0,1.0,1.0,-0.8
2,Season 2,0,ZenOnco,Medical/Health,Medical/Health,Jodhpur,Rajasthan,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,False,,,,,,,
