Season_Number,season_label,Episode_Number,Startup_Name,Industry,industry_grouped,Pitchers_City,Pitchers_State,Pitchers_Average_Age,Number_of_Presenters,team_size_bucket,Original_Ask_Amount,Original_Offered_Equity,Valuation_Requested,valuation_ask_group,equity_ask_group,Received_Offer,deal_closed,Total_Deal_Amount,Total_Deal_Equity,Total_Deal_Debt,Deal_Valuation,Number_of_sharks_in_deal,pct_of_ask_funded,valuation_change_pct
1,Season 1,36,Devnagri,Technology/Software,Technology/Software,Delhi,Delhi,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,True,False,,,,,,,
1,Season 1,0,WitBlox,Manufacturing,Manufacturing,Mumbai,Maharashtra,Middle,2,Two founders,60.0,3.0,2000.0,High valuation ask,High equity offered,True,True,60.0,10.0,,600.0,2.0,1.0,-0.7
1,Season 1,0,Kineer,Food,Food,Pune,Maharashtra,Middle,2,Two founders,100.0,10.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,PiChem,Manufacturing,Manufacturing,Lucknow,Uttar Pradesh,Young,1,Solo founder,40.0,5.0,800.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Clensta,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,1,Solo founder,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,InfinitiInsects,Animal/Pets,Other (small n),Bangalore,Karnataka,Middle,2,Two founders,25.0,10.0,250.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,AshwaPro,Services,Services,Jaipur,Rajasthan,Middle,1,Solo founder,50.0,10.0,500.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Mine4Nine,Beauty/Fashion,Beauty/Fashion,Gurgaon,Haryana,Middle,2,Two founders,75.0,4.0,1875.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,StudioBeej,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,1,Solo founder,75.0,7.5,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Sattuz,Liquor/Beverages,Other (small n),Madhubani,Bihar,Middle,2,Two founders,25.0,5.0,500.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Scintiglo,Medical/Health,Medical/Health,Indore,Madhya Pradesh,Middle,1,Solo founder,75.0,1.0,7500.0,High valuation ask,Low equity offered,True,False,,,,,,,
1,Season 1,0,Glii,Services,Services,Noida,Uttar Pradesh,Middle,4,3+ founders,40.0,4.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,StanleeIndia,Electronics,Other (small n),Delhi,Delhi,Middle,3,3+ founders,60.0,3.0,2000.0,High valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,SpaceKidzIndia,Manufacturing,Manufacturing,Chennai,Tamil Nadu,Middle,2,Two founders,100.0,2.0,5000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,UrbanNaps,Services,Services,Ahmedabad,Gujarat,Young,2,Two founders,50.0,4.0,1250.0,Low valuation ask,High equity offered,True,False,,,,,,,
1,Season 1,0,Gizmoswala,Entertainment,Other (small n),Mumbai,Maharashtra,Middle,3,3+ founders,75.0,5.0,1500.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,ZyppElectric,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Gurgaon,Haryana,Young,2,Two founders,220.0,1.0,22000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,Picsniff,Technology/Software,Technology/Software,Mumbai,Maharashtra,Young,1,Solo founder,55.0,1.0,5500.0,High valuation ask,Low equity offered,True,False,,,,,,,
1,Season 1,0,Deciwood,Electronics,Other (small n),Delhi,Delhi,Young,2,Two founders,50.0,3.5,1429.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,HappyBar,Food,Food,Hyderabad,Telangana,Middle,3,3+ founders,60.0,2.0,3000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,Tathastulive,Services,Services,Ahmedabad,Gujarat,Middle,3,3+ founders,50.0,10.0,500.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,BandsandCups,Beauty/Fashion,Beauty/Fashion,Chennai,Tamil Nadu,Middle,1,Solo founder,40.0,10.0,400.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,MyWealthProtector,Services,Services,Mumbai,Maharashtra,Middle,2,Two founders,50.0,2.5,2000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,TheIris,Manufacturing,Manufacturing,Bangalore,Karnataka,Young,2,Two founders,10.0,15.0,67.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Canebot,Food,Food,Pune,Maharashtra,Middle,2,Two founders,100.0,2.5,4000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,OyeDelhiOye,Food,Food,Delhi,Delhi,Middle,2,Two founders,35.0,10.0,350.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,InaliAssistiveTech,Medical/Health,Medical/Health,Pune,Maharashtra,Young,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Meera'sCelebrations,Services,Services,Ludhiana,Punjab,Middle,2,Two founders,50.0,25.0,200.0,Low valuation ask,High equity offered,False,False,,,,,,,
1,Season 1,0,Artment,Beauty/Fashion,Beauty/Fashion,Gurgaon,Haryana,Young,2,Two founders,170.0,2.5,6800.0,High valuation ask,Low equity offered,True,False,,,,,,,
1,Season 1,0,Powertree,Manufacturing,Manufacturing,Gandhinagar,Gujarat,Middle,2,Two founders,150.0,2.5,6000.0,High valuation ask,Low equity offered,False,False,,,,,,,
1,Season 1,0,Eume,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Middle,3,3+ founders,150.0,2.0,7500.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,1,Hoovu,Services,Services,Bengaluru,Karnataka,Young,2,Two founders,80.0,1.0,8000.0,High valuation ask,Low equity offered,True,True,100.0,2.0,,5000.0,2.0,1.25,-0.375
2,Season 2,1,Dorji,Food,Food,Darjeeling,West Bengal,Young,2,Two founders,30.0,5.0,600.0,Low valuation ask,High equity offered,True,True,30.0,15.0,,200.0,3.0,1.0,-0.6666666666666666
2,Season 2,1,Recode,Beauty/Fashion,Beauty/Fashion,Ludhiana,Punjab,Middle,2,Two founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,2,VeryMuchIndian,Beauty/Fashion,Beauty/Fashion,Pune,Maharashtra,Middle,2,Two founders,50.0,3.0,1667.0,Low valuation ask,High equity offered,True,True,50.0,10.0,,500.0,2.0,1.0,-0.7000599880023995
2,Season 2,2,WatchoutWearables,Electronics,Other (small n),Thane,Maharashtra,Young,2,Two founders,200.0,5.0,4000.0,High valuation ask,High equity offered,True,True,100.0,10.0,100.0,1000.0,2.0,0.5,-0.75
2,Season 2,2,SoupX,Food,Food,Delhi,Delhi,Young,2,Two founders,75.0,6.0,1250.0,Low valuation ask,High equity offered,True,True,50.0,18.0,25.0,277.7777778,1.0,0.6666666666666666,-0.77777777776
2,Season 2,3,ATMOSPHERE,Food,Food,Delhi,Delhi,Young,2,Two founders,75.0,3.0,2500.0,High valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,3,Stage,Entertainment,Other (small n),"Bhiwani,Barnagar","Haryana,Madhya Pradesh",Young,3,3+ founders,300.0,1.0,30000.0,High valuation ask,Low equity offered,True,True,150.0,0.6,150.0,25000.0,3.0,0.5,-0.16666666666666666
2,Season 2,3,Girgit,Beauty/Fashion,Beauty/Fashion,Mumbai,Maharashtra,Young,2,Two founders,20.0,10.0,200.0,Low valuation ask,High equity offered,True,True,20.0,20.0,,100.0,1.0,1.0,-0.5
2,Season 2,4,GearHeadMotors,Vehicles/Electrical Vehicles,Vehicles/Electrical Vehicles,Hyderabad,Telangana,Young,2,Two founders,75.0,2.0,3750.0,High valuation ask,Low equity offered,True,True,100.0,6.67,,1499.250375,2.0,1.3333333333333333,-0.6001999
2,Season 2,4,PatilKaki,Food,Food,Mumbai,Maharashtra,Young,3,3+ founders,40.0,2.5,1600.0,Low valuation ask,Low equity offered,True,True,40.0,4.0,,1000.0,2.0,1.0,-0.375
2,Season 2,4,Brandsdaddy,Manufacturing,Manufacturing,Mumbai,Maharashtra,Middle,2,Two founders,70.0,5.0,1400.0,Low valuation ask,High equity offered,True,True,35.0,5.0,35.0,700.0,1.0,0.5,-0.5
2,Season 2,5,Winston,Beauty/Fashion,Beauty/Fashion,Faridabad,Haryana,Middle,2,Two founders,100.0,4.0,2500.0,High valuation ask,High equity offered,True,True,100.0,10.0,,1000.0,2.0,1.0,-0.6
2,Season 2,5,Flatheads,Beauty/Fashion,Beauty/Fashion,Bangalore,Karnataka,Middle,1,Solo founder,75.0,3.0,2500.0,High valuation ask,High equity offered,True,False,,,,,,,
2,Season 2,5,OrganicSmokes,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,3,3+ founders,100.0,1.0,10000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,6,TeaFit,Liquor/Beverages,Other (small n),Mumbai,Maharashtra,Young,3,3+ founders,50.0,3.0,1666.666667,Low valuation ask,High equity offered,True,True,50.0,8.0,,625.0,4.0,1.0,-0.625000000075
2,Season 2,6,Haqdarshak,Services,Services,Shimla,Himachal Pradesh,Middle,2,Two founders,100.0,0.5,20000.0,High valuation ask,Low equity offered,True,True,100.0,2.0,,5000.0,3.0,1.0,-0.75
2,Season 2,6,Bhaskar'sPuranpoliGhar,Food,Food,Thane,Maharashtra,Middle,3,3+ founders,75.0,1.0,7500.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,7,GunjanAppsStudios,Technology/Software,Technology/Software,Kolkata,West Bengal,Middle,2,Two founders,250.0,1.0,25000.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,7,TheSimplySalad,Food,Food,Ahmedabad,Gujarat,Young,2,Two founders,30.0,10.0,300.0,Low valuation ask,High equity offered,True,True,30.0,10.0,,300.0,2.0,1.0,0.0
2,Season 2,7,AyuSynk,Medical/Health,Medical/Health,Mumbai,Maharashtra,Middle,3,3+ founders,100.0,1.5,6666.666667,High valuation ask,Low equity offered,True,True,50.0,3.5,50.0,1428.571429,1.0,0.5,-0.7857142856607142
2,Season 2,8,AtypicalAdvantage,Technology/Software,Technology/Software,Jamshedpur,Jharkhand,Middle,1,Solo founder,30.0,1.0,3000.0,High valuation ask,Low equity offered,True,True,30.0,3.0,,1000.0,2.0,1.0,-0.6666666666666666
2,Season 2,8,HouseOfChikankari,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,2,Two founders,75.0,1.0,7500.0,High valuation ask,Low equity offered,True,True,75.0,3.75,,2000.0,2.0,1.0,-0.7333333333333333
2,Season 2,8,MagicOfMemories,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Middle,1,Solo founder,25.0,5.0,500.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,9,Paradyes,Beauty/Fashion,Beauty/Fashion,Ahmedabad,Gujarat,Young,2,Two founders,65.0,1.0,6500.0,High valuation ask,Low equity offered,True,True,65.0,2.0,,3250.0,2.0,1.0,-0.5
2,Season 2,9,Nestroots,Furnishing/Household,Furnishing/Household,Delhi,Delhi,Middle,1,Solo founder,50.0,1.0,5000.0,High valuation ask,Low equity offered,True,True,50.0,2.0,,2500.0,1.0,1.0,-0.5
2,Season 2,10,Zillionaire,Beauty/Fashion,Beauty/Fashion,Jaipur,Rajasthan,Young,2,Two founders,50.0,3.3,1515.151515,Low valuation ask,High equity offered,True,True,100.0,10.0,,1000.0,1.0,2.0,-0.339999999934
2,Season 2,10,Credmate,Technology/Software,Technology/Software,Ludhiana,Punjab,Middle,2,Two founders,50.0,5.0,1000.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,10,Freebowler,Sports,Other (small n),Bangalore,Karnataka,Middle,2,Two founders,75.0,7.5,1000.0,Low valuation ask,High equity offered,True,True,25.0,7.5,50.0,333.3333333,1.0,0.3333333333333333,-0.6666666667
2,Season 2,11,ABCSports&Fitness,Sports,Other (small n),Pune,Maharashtra,Middle,2,Two founders,40.0,2.0,2000.0,High valuation ask,Low equity offered,True,True,40.0,10.0,,400.0,1.0,1.0,-0.8
2,Season 2,11,Primebook,Technology/Software,Technology/Software,Delhi,Delhi,Middle,4,3+ founders,75.0,1.5,5000.0,High valuation ask,Low equity offered,True,True,75.0,3.0,,2500.0,2.0,1.0,-0.5
2,Season 2,11,DailyDump,Manufacturing,Manufacturing,Bangalore,Karnataka,Middle,2,Two founders,80.0,4.0,2000.0,High valuation ask,High equity offered,True,True,30.0,4.0,50.0,750.0,1.0,0.375,-0.625
2,Season 2,12,GharSoaps,Beauty/Fashion,Beauty/Fashion,Pune,Maharashtra,Middle,2,Two founders,60.0,2.0,3000.0,High valuation ask,Low equity offered,True,True,60.0,4.0,,1500.0,1.0,1.0,-0.5
2,Season 2,12,Janitri,Medical/Health,Medical/Health,Alwar,Rajasthan,Middle,1,Solo founder,100.0,2.5,4000.0,High valuation ask,Low equity offered,True,True,100.0,2.5,,4000.0,1.0,1.0,0.0
2,Season 2,12,JaipurWatchCompany,Manufacturing,Manufacturing,Jaipur,Rajasthan,Middle,1,Solo founder,50.0,2.0,2500.0,High valuation ask,Low equity offered,False,False,,,,,,,
2,Season 2,13,InsideFPV,Manufacturing,Manufacturing,Surat,Gujarat,Young,3,3+ founders,75.0,4.0,1875.0,Low valuation ask,High equity offered,True,True,75.0,15.0,,500.0,4.0,1.0,-0.7333333333333333
2,Season 2,13,Angrakhaa,Beauty/Fashion,Beauty/Fashion,Delhi,Delhi,Young,2,Two founders,40.0,5.0,800.0,Low valuation ask,High equity offered,True,True,40.0,20.0,,200.0,1.0,1.0,-0.75
